,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
10,hello good,2015,Draco Malfoy/Harry Potter,M/M,"Draco Malfoy thinks he might know whose thoughts are scrawling themselves on his skin, but that's crazy. Impossible, even. It has to be a mistake.-Self-indulgent soulmate AU where the thoughts of your soulmate inscribe themselves on your skin in a shifting magic tattoo",English,"4,807",498,1/1,"50,653","6,540","609,202"
11,Tea and No Sympathy,2014,Draco Malfoy/Harry Potter,M/M,"It's Potter's fault, of course, that Draco finds himself trapped in the same twenty-four-hour period, repeating itself over and over again. It's been nearly a year since the unpleasant business at Hogwarts, and Draco's getting on with his life quite nicely, thank you, until Harry sodding Potter steps in and ruins it all, just like always. At first, though, the time loop seems liberating. For the first time in his life, he can do anything, say anything,beanything, without consequence. But the more Draco repeats the day, the more he realises the uncomfortable truth: he's falling head over heels for the speccy git. And suddenly, the time loop feels like a trap. For how can he ever get Harry to love him back when time is, quite literally, against him?",English,"70,045","2,038",11/11,"49,569","12,666","834,625"
12,Away Childish Things,2018,Draco Malfoy/Harry Potter,M/M,Harry gets de-aged. Malfoy has to help him.,English,"153,881","5,936",13/13,"47,568","15,519","974,432"
13,All You Want,2019,Hermione Granger/Draco Malfoy,F/M,"Eighth Year at Hogwarts was supposed to be Hermione’s. And it is, just not in the way she expects. Omegaverse fic.",English,"172,650","6,559",36/36,"47,309","11,956","2,027,179"
14,All Our Secrets Laid Bare,2014,Draco Malfoy/Harry Potter,M/M,"Over the six years Draco Malfoy has been an Auror, four of his partners have turned up dead. Harry Potter is assigned as his newest partner to investigate just what is going on.",English,"149,549","3,586",16/16,"45,460","14,172","1,186,635"
15,Storm in a Teacup,2012,Draco Malfoy/Harry Potter,M/M,"For reasons he'd rather not think about, Draco is obsessed with Potter's hair. This cannot end well.",English,"7,954",543,1/1,"45,450","6,998","447,463"
16,Hermione Granger's Hogwarts Crammer for Delinquents on the Run,2017,Draco Malfoy/Harry Potter,M/M,"'You're a wizard, Harry' is easier to hear from a half-giant when you're eleven, rather than from some kids on a tube platform when you're seventeen and late for work.",English,"93,391","3,018",8/8,"44,946","15,239","982,811"
17,punch-drunk fingerprints,2016,Draco Malfoy/Harry Potter,M/M,"In a world where every touch of a soulmate leaves a temporary heat mark on bare skin, Draco Malfoy suddenly finds his life devolving into a massive cliche because the Boy Who Lived Twice has no idea how to respect the personal space bubble.",English,"1,983",402,1/1,"43,728","4,253","344,698"
18,Text Talk,2015,Sirius Black/Remus Lupin,No category,"Sirius is in boarding school, Remus is in hospital, and they don't know each other until Sirius texts the wrong number.",English,"141,250","3,560",14/14,"42,374","10,118","1,030,506"
19,An Issue of Consequence,2014,Draco Malfoy/Harry Potter,M/M,Draco has woken up in an alternate universe. Or he has woken up utterly insane. Nothing else can possibly explain why Harry Potter suddenly seems to think he's Draco's boyfriend.,English,"20,798",758,5/5,"41,371","7,035","645,030"
20,"Hey, Potter",2013,Draco Malfoy/Harry Potter,M/M,"Harry returns to Hogwarts for his 8th year, determined not to let Malfoy get to him. But when the snarky teasing starts up again, Harry finds that returning the jibes with compliments has a far more interesting outcome.",English,"16,024",436,1/1,"40,523","6,158","427,436"
21,Choices,2022,Regulus Black/James Potter,F/M,"People make mistakes, but they also make choices. It’s important to James, that difference. He does his best not to confuse the two.",English,"624,451","11,121",56/56,"40,425","10,100","2,281,777"
22,Right Hand Red,2015,Draco Malfoy/Harry Potter,M/M,"Harry felt Malfoy's breath on his lips as they came together over the bottle, hands firmly planted on the floor as though they each needed their familiar soil, refusing to cross into enemy territory.Except that Malfoy no longer felt like his enemy.Malfoy felt inevitable.",English,"73,173","2,293",3/3,"38,553","10,319","806,498"
23,that’s the art of getting ,2021,Sirius Black/Remus Lupin,Gen,"“What do you want me to do?” Remus says, tiredly. All he wants is to curl up on his bed. Smoke a pack of cigarettes. Get drunk. He can’t stop looking at Harry.“Remus...” Dumbledore is gentle. Remus hates when he has that tone. Hates that he knows it will hurt. “There is no one else left.”A bitter laugh escapes him. “So you’ll curse the poor thing with a werewolf for a guardian?”",English,"40,459","4,809",17/17,"38,302","12,446","771,603"
24,"The Electric Fizzing Prick Pistols, or Whatever",2013,Sirius Black/Remus Lupin,M/M,"Everyone is born with Words on their arm that connect them to their Soulmate. James finds his, Sirius had everything figured out back in First Year, Peter doesn’t talk to girls anyway, and Remus thinks he’d very much just like to put his earmuffs back on and disappear.",English,"3,816",492,1/1,"37,679","3,993","329,891"
25,Slithering,2016,Draco Malfoy/Harry Potter,M/M,"Draco found the nest down in the Manor’s cellars, while he was clearing them out.",English,"27,355","1,102",1/1,"37,248","9,556","468,746"
26,Dangerous,2014,Draco Malfoy/Harry Potter,M/M,"Being trapped in a dungeon with Malfoy — who's a werewolf, a former Death Eater, and a giant git — is definitely dangerous. Harry has no reason to be excited. None at all.",English,"6,342",293,1/1,"36,609","4,230","459,439"
27,Lumos,2016,Draco Malfoy/Harry Potter,M/M,Harry never expected to spend eighth year listening to Draco Malfoy wanking.,English,"41,476","1,063",1/1,"34,753","7,782","572,913"
28,The Auction,2020,Hermione Granger/Draco Malfoy,F/M,"In the wake of the Dark Lord’s triumph over Harry Potter, the defeated must learn their new place. Hermione Granger, former Golden Girl, has been captured and reduced to human chattel. Sold to the highest bidder as the top prize at an auction of Order members and sympathizers, she is thrust into the rabid, waiting hands of the Death Eaters. But despite the horrors of Voldemort’s new world, help—and hope—seem to arise from the most unlikely of places.PART 3 of the RIGHTS AND WRONGS series.",English,"325,876","8,533",41/41,"34,541","10,157","2,511,443"
29,Dripping Fingers,2022,Harry Potter/Tom Riddle,M/M,"When Harry finds Tom Riddle's diary he does not write 'Hello.' He does not write anything at all. He draws. Tom Riddle falls in love with the artwork._________________Sketch by sketch, drawing by drawing, the ink Harry pours into the diary manifests as creations in Tom's monochrome world.",English,"191,530","8,469",39/39,"33,959","10,209","954,999"
30,Mental,2010,Draco Malfoy/Harry Potter,M/M,"Harry has had quite enough of sharing his mind with someone else, thankyouverymuch. A miscast Legilimecy spell says otherwise.(Fic from 2010 FF archive being uploaded here.)AND FOR THE LAST FUCKING TIME, STOP REPOSTING THIS ON WATTPAD. I DO NOT WANT IT ON WATTPAD. YOU DO NOT HAVE PERMISSION TO POST THIS ON WATTPAD.",English,"186,678","1,923",32/32,"33,384","8,316","986,155"
31,Azoth,2013,Draco Malfoy/Harry Potter,M/M,"Now that Harry is back at Hogwarts with Hermione for eighth year, he realises that something’s missing from his life, and it either has to do with Ron, his boggart, Snape, or Malfoy. Furthermore, what, exactly, does it mean when one’s life is defined by the desire to simultaneously impress and annoy a portrait? Harry has no idea; he’s too busy trying not to be in love with Malfoy to care.",English,"88,722","3,289",14/14,"32,921","11,384","760,245"
32,Don't Fuck With Florists (They'll Fuck You Up),2016,Harry Potter/Tom Riddle,M/M,"Unsatisfied with his post-war life, Harry decides to get to the root of all of his problems when that root was still working at Borgin and Burkes shop in the late 40s. He’s the Master of Death, damn it, he can do what he wants for once in his life.Tom Riddle isn’t particularly happy about working at a small, dingy shop for magical artifacts, no matter how interesting those artifacts are. He’s even less happy when an insufferable stranger sets up the most obnoxious flower shop right across the street.What follows would be a romantic comedy, if it weren’t for politics.",English,"13,944",869,1/1,"32,874","7,511","293,558"
33,Written on the Heart,2016,Draco Malfoy/Harry Potter,M/M,"Harry doesn’tmindthat so many Slytherins from his year have returned to finish their NEWTs, really he doesn’t. It’s just – do they have to be so friendly? He’s not prejudiced, really he’s not. It’s just – they’ve got to be up to something, right? Unnerved by the attention he’s attracting from everyone – the Slytherins are the least of it, to be fair – and struggling with a raft of changes to Hogwarts itself, Harry wishes he could be happy that one constant remains: Draco Malfoy really fucking hates him.When he’s hit by an illegal love-spell though, Harry finds he has more to worry about than whether or not Blaise Zabini actually wants to be his friend. For if everyone affected has been blessed – or cursed, by the look on Malfoy’s face – with a magical tattoo revealing the name of their soulmate, what does it mean that Harry’s skin remains completely bare?",English,"113,984","2,258",20/20,"32,687","8,392","625,009"
34,All the Young Dudes - Sirius's Perspective,2022,Sirius Black/Remus Lupin,M/M,"this is an ATYD fanfic first!!! and a harry potter fanfic only by necessity. this is literally just me rewriting each chapter of atyd but from Sirius's perspective bc i love this story so much and can't get enough of it. all credit for the original work goes toMsKingBean89and if for some reason you've stumbled upon this without reading the original ATYD first, please go do that!!Read the originalhere8/24/23PLEASE DON'T POST MY FICS ON GOODREADS/STORYGRAPHS/ETC.PLEASE DON'T REPOST MY WORKS ON ANY OTHER SITES.PLEASE DON'T PRINT OR BIND MY WORKS USING THIRD PARTY SITES THAT MAKE A PROFIT - DO IT BY HAND OR NOT AT ALL. DO NOT SELL BOUND COPIES OF MY FICS.",English,"628,178","11,793",188/188,"32,634","5,535","2,184,145"
35,What We Pretend We Can't See,2017,Draco Malfoy/Harry Potter,M/M,"Seven years out from the war, Harry learns the hard truth of old history: it’s never quite as far behind you as you thought.",English,"131,086","3,208",14/14,"32,125","12,555","767,072"
36,Soup-pocalypse and The Great Curry Cataclysm,2018,Draco Malfoy/Harry Potter,M/M,"Eleven years after the war, Draco Malfoy leads a quiet, boring, and perfectly respectable life, thanks very much. Or, at least he does, until a sudden and very unexpected veela awakening causes him to throw soup all over Harry Potter in the middle of the Ministry cafeteria.",English,"104,357","2,016",15/15,"31,358","8,880","575,958"
37,The Right Thing To Do,2018,Hermione Granger/Draco Malfoy,F/M,"Hermione felt the pounding in her ears again. She would see him for the first time since the Great Hall, gaunt and stricken at the Slytherin table with his mother clutching his arm. She hadn't meant to look for him. Not in the corridors, not beneath the white sheets of the fallen, not on the way to the Chamber of Secrets with Ron, but she was a stupid girl.",English,"174,911","5,541",36/36,"31,292","10,160","1,537,572"
38,In Evidence of Magical Theory,2017,Draco Malfoy/Harry Potter,M/M,"When a hex meant for Draco accidentally catches Harry as well, they're forced to learn to understand each other in ways they previously might have thought impossible.In which Harry and Draco can't fight, so they fall in love instead.",English,"43,747","1,107",7/7,"31,116","7,201","509,698"
39,House Proud,2016,Draco Malfoy/Harry Potter,M/M,His house liked Draco Malfoy more than him.,English,"23,111","1,285",1/1,"30,372","9,777","445,896"
40,Another Mind Game,2020,Harry Potter & Severus Snape,M/M,"Harry’s occlumency reveals his disturbing home life which sets off a chain reaction that cannot be undone. Snape finds himself begrudgingly caring about the bespectacled boy, Harry discovers what it's like to have adults who care, and Hermione finds herself becoming an accidental crime lord. Draco Malfoy is very much along for the ride, in all senses of the word.A ridiculous blend of hilarity and tragedy, Another Mind Game is the multi-faceted fanfiction you didn't know you wanted but will absolutely adore.Featuring a sassy Harry Potter, good friends, and a great deal of sarcasm.There are also ridiculous endnotes if you make it far enough. (You can do it!)",English,"54,012","2,412",17/17,"29,776","7,620","608,805"
41,Wait and Hope,2020,Hermione Granger/Draco Malfoy,F/M,"“Harry,” Hermione began, voice very controlled, but she could feel the blade of panic slicing at her vocal cords. “Why was Draco Malfoy just screaming bloody murder about his,” and the word almost strangled her as she said it, “wife?”Harry's green eyes blew wide. Healer Lucas pinched the bridge of her nose, clearly displeased with the recent series of events.“He was referring to you, my dear,” she said. “That was the other question you got wrong. Your name is Hermione Jean Granger-Malfoy.”Hermione had to be sedated again.[In which Hermione loses the last six year's worth of her memories, including the entirety of her relationship and marriage to Draco.]",English,"94,946","3,889",12/12,"29,605","10,379","1,017,147"
42,The Devil's White Knight,2016,Draco Malfoy/Harry Potter,F/F,"When Harry wakes up in an alternate timeline--a timeline where Voldemort was defeated long before the first war--he discovers everything is different. His parents, his godfather, his friends--and him. Harry must deal with the consequences of who he would have been if he had been raised by his parents, and figure out where he stands with his casual hook up, Draco Malfoy.",English,"64,573",927,10/10,"29,324","7,764","576,443"
43,Draco Malfoy and the Mirror of Ecidyrue,2020,Draco Malfoy/Harry Potter,Gen,"All it takes is one look in a mirror and an ill-advised attempt to shatter it, before an embittered Draco Malfoy fresh out of Azkaban is sent back into his body on the day he gets his Hogwarts letter.Suddenly, Draco has an unwanted second chance, with a Sorting Hat that doesn't know what to do with him, a certain Muggleborn who won't leave his study table alone, and green eyes he just can't get out of his head. And then there's his new wand, whose choice of him could just mark him as every bit as dark a wizard as his name means he should be.",English,"90,081","1,811",18/18,"28,763","4,781","797,763"
44,the family evans,2015,Petunia Evans Dursley & Harry Potter,Gen,"What if, when Petunia Dursley found a little boy on her front doorstep, she took him in? Not into the cupboard under the stairs, not into a twisted childhood of tarnished worth and neglect—what if she took him in?Petunia was jealous, selfish and vicious. We will not pretend she wasn’t. She looked at that boy on her doorstep and thought about her Dudders, barely a month older than this boy. She looked at his eyes and her stomach turned over and over. (Severus Snape saved Harry’s life for his eyes. Let’s have Petunia save it despite them).Let’s tell a story where Petunia Dursley found a baby boy on her doorstep and hated his eyes—she hated them. She took him in and fed him and changed him and got him his shots, and she hated his eyes up until the day she looked at the boy and saw her nephew, not her sister’s shadow. When Harry was two and Vernon Dursley bought Dudley a toy car and Harry a fast food meal with a toy with parts he could choke on Petunia packed her things and got a divorce.",English,"3,529",962,1/1,"28,337","6,038","230,020"
45,Who Shagged Harry Potter?,2012,Draco Malfoy/Harry Potter,M/M,"One beautiful sunny Sunday the Slytherins wake up after a raunchy night only to discover a very naked Harry Potter sleeping in their dormitory. Naturally, they ask themselves a logical question: Who the hell shagged him?",English,"6,464",200,1/1,"28,283","3,551","362,861"
46,Temptation on the Warfront,2015,Draco Malfoy/Harry Potter,M/M,"Draco Malfoy is forced into hiding with the Golden Trio and dragged into their search for horcruxes. What ensues is a journey of redemption, unexpected friendships and an unwanted, turbulent romance with Harry Potter. Warnings for swearing, sexual content, and dark themes.",English,"180,305","2,756",31/31,"27,962","8,621","950,813"
47,Measure Of A Man,2022,Hermione Granger/Draco Malfoy,F/M,"To truly know someone is to differentiate between who they once were, who they are now, and who they're capable of being. Hermione realises the duality of one man as she rectifies what she knows of the past and begins to understand the pieces of who Draco Malfoy is now: a father, a son, and a man.",English,"588,659","8,155",42/42,"27,926","11,975","2,795,550"
48,Three's Family,2022,James Potter/Lily Evans Potter,F/M,"It’s May 1979 and the Order has just apprehended a pair of mysterious wizards who look remarkably like a Potter and a Malfoy. Naturally, James Potter and Sirius Black are called in to identify the strangely familiar strangers and determine their backgrounds and loyalties.(This would be a lot easier if their captives weren’t convinced everyone they talk to is dead. It would also be easier if they didn’t spend half their bloody time bickering.)**“Just ask them questions only they would know the answer to,” Malfoy suggests.“There’s not a single thing that I know about either of them from the first war that any old Death Eater couldn’t find out.”“How is that possible?” Malfoy huffs. “He’s your father!”“Am I or am I notfamously an orphan?”Potter snarls.**Русский перевод: https://archiveofourown.org/works/49365862/chapters/124574398中文翻译: https://archiveofourown.org/works/49899721",English,"19,351",840,5/5,"27,710","6,123","254,223"
49,Slammed,2012,Draco Malfoy/Harry Potter,M/M,Potter develops a worrying habit of randomly wall-slamming Draco all over the castle.,English,"2,038",247,1/1,"27,259","3,169","239,308"
50,We're Already Married,2017,Draco Malfoy/Harry Potter,M/M,"""Our whole lives we have always told people that we were married. I knew that it wasn't exactly normal but it was always something that filled me with so much affection for you. I have loved you for so long. Longer than I ever realized."" Harry took a deep breath as he looked into shining silver eyes.Or...Three-year-old Harry asks little Draco to marry him and they insist to anyone who will listen that they are indeed already married.",English,"3,954",548,1/1,"26,893","3,860","188,209"
51,Remain Nameless,2020,Hermione Granger/Draco Malfoy,F/M,"How did it feel? It felt like he was barely holding it together. She, of all people, should shun him. Or yell at him. Curse him. Spit at him. Take out her wand and blast him off the face of the earth. It was crushing guilt and relief and confusion all at once when he looked at Hermione Granger.The monotony of Draco’s daily routine had become both a lifeline and a noose. But this new habit of grabbing coffee with Hermione Granger is quickly becoming a reason to get out of bed and is unfortunately forcing him to re-evaluate his inconsequential existence.Hermione is living her life in fragments, separate pieces scattered about, and she can’t find a way to step back and let the full picture form. Why are morning meetings with Draco Malfoy the only thing that make sense anymore?",English,"312,286","8,744",51/51,"26,538","11,098","1,910,118"
52,Thermodynamic Equilibrium,2019,Draco Malfoy/Harry Potter,M/M,"Harry's far too hot. Draco's always cold. And somehow against all odds, together they create a perfect equilibrium.",English,"5,025",586,2/2,"25,916","5,005","225,644"
53,Holly Potter and the Midlife Crisis,2020,N/A,No category,"“The first group I sent over made the Avengers uncomfortable by thanking them constantly and asking for autographs. The next group stole things to sell on ebay. The group after that didn’t even get through the front door because Stark’s security system found something in their background that we missed. The fourth group left traumatized after cleaning out Thor’s room, apparently the god had some beheaded poultry dripping blood into a bowl in there. Then after that every group I’ve left hasn’t lasted more than three days because of some problem or another. I’m pretty sure one of those assholes has made it a game to scare my workers away.”“I don’t think you’re supposed to call the heroes of New York assholes.”Or, cleaning up after the Avengers involves more than just getting blood stains out of the carpet and most of them can't take the heat. Thankfully the Savior of the Wizarding has spent the last decade cleaning up after Death Eaters, so she's up to the task. Nothing, not pranks, bird corpses, or unidentified slime will keep her from cleaning up.This Fic is now complete!",English,"392,453","17,379",80/80,"25,863","8,486","1,080,179"
54,Whispers in Corners,2014,Mycroft Holmes/Harry Potter,M/M,Everything started with a stumble - his new life in a new world as well as his surprisingly successful career as a medium.,English,"64,402",770,10/10,"25,451","8,761","368,766"
55,Harry Potter and the Lack of Lamb Sauce,2019,N/A,Gen,"Inspired by a post on Tumblr, this is a AU story set during Harry's sixth year at Hogwarts, with one big, foul-mouthed difference. Instead of Horace Slughorn, the position of Potions professor will be taken on by...Gordon Ramsay.",English,"356,700","7,652",99/99,"24,978","6,297","1,022,151"
56,On Punching Gods and Absentee Dads,2020,N/A,No category,"Harry finds out that his dad is alive, has been the whole time. Instead of being overjoyed, Harry's disgusted. His dad left earth and abandoned his friends. Every painful thing he's ever gone through can be traced back to one man. Now Harry's got super strength he can't control and an almost unnecessary amount of magical power. His dad might be living it up with the Avengers now but not for long. With the help of his friends, Harry comes up with a plan for revenge. Get ready Avengers, Harry's out to punch a god.",English,"246,843","11,244",56/56,"24,893","9,137","879,907"
57,Coil,2024,N/A,Gen,"Dazai's second year at Hogwarts starts with a bang!Between Mori's latest orders, Snape's investigation, and media-fire coming from all angles, Dazai certianly has his work cut out for him. But he isn't going down without a fight. With a steadily-growing gang of friends (subordinates!) at his back, Dazai might just stand a chance of making it through his second year alive....or maybe not. Honestly, Dazai isn't picky.",English,"312,047","7,341",33/33,"24,846","1,260","559,840"
58,"The Problem with Eggnog, Uncommon Thoughts, and Sharing a Bed with Sirius Black",2008,Sirius Black/Remus Lupin,M/M,"In which Sirius is possibly naked, and Remus' mind is not the safest place to be.",English,"3,011",153,1/1,"24,754","2,833","280,520"
59,trapped in a blue haze,2017,Draco Malfoy/Harry Potter,M/M,"“And in that moment, Draco knows. He knows that all his deep-rooted suspicions about Harry’s childhood are terribly, horribly true.”As their relationship grows, so do Draco’s misgivings about Harry’s past.",English,"5,610",307,1/1,"24,660","3,510","268,063"
60,Business,2014,N/A,Gen,The Dursleys didn't raise Harry Potter to be a very good boy.Mildest of fusions with Sherlock Holmes,English,"12,460",690,1/1,"24,653","6,505","302,590"
61,Hung Like a Horntail,2015,Draco Malfoy/Harry Potter,M/M,"Draco's become a bit obsessed with Harry's sizable package. It's a little distracting. Even more so when it's up your arse. (Or ""Harry's Big Dick is messing with Draco's life."" ~Capitu)",English,"2,353",228,1/1,"23,952","2,581","434,904"
62,Reparatio,2016,Draco Malfoy/Harry Potter,M/M,"Draco snorted. “I’m not reduced topenury. I want something considerably beyond money, and I rather think you’re the only one can give it to me.”“You want the Invisibility Cloak,” Harry said, flatly. He’d half expected as much; it was the only thing he had that Draco could want—“Don’t be stupid, Potter,” Draco said. “I want myreputationback.”",English,"17,363",612,1/1,"23,914","5,072","362,763"
63,"Art Heist, Ba",2022,Regulus Black/James Potter,F/F,"When James Potter answers a mysterious ad in his local coffee shop, the last thing he expects is to be thrown into a world of white collar crime, but how can he resist when the mastermind behind the operation has dark hair and brooding eyes and promises wealth beyond James' wildest imagination? He would do anything for that boy named after a star, including stealing millions of dollars of fine art.",English,"220,445","8,717",38/38,"23,739","8,132","1,074,603"
64,Embers,2017,Draco Malfoy/Harry Potter,M/M,"Werewolf Alphas aren't meant to be alone, or to suppress their ruts indefinitely like Draco has been since he was bitten eight years ago. He needs company, companionship, toknot― he needs an Omega Heat Companion. At least, that’s what the Healers say, and even Draco can admit contacting the person they’ve referred him to might be nice.Of course it turns out to be bloodyPotter.",English,"41,216",892,3/3,"23,723","4,954","370,228"
65,Spellist,2015,Phil Coulson/Harry Potter,M/M,"The new reality had no wizards or magical nations – but it had a whole boatload of powerful and occasionally inept sorcerers. Who were usually semi-public and sometimes very popular in social media. How it worked, Harry had no idea.",English,"2,483",531,1/1,"23,600","4,747","180,140"
66,Timeshare,2016,Draco Malfoy/Harry Potter,M/M,"“It’s not for long,” Hermione said. “By the time we get back to Hogwarts, the Unfettering Brew will be ready.”“Listen to you!” Ron said. “He’s got to get through a month with the Dursleys and a month atMalfoy Manor. WithDraco Malfoy.”“Yeah, thanks,” Harry said, because he hadn’t just spent the last week contemplating just how much more horrible his summer holidays were about to be than they’d ever been before.",English,"14,156",477,1/1,"23,396","3,642","297,727"
67,The Cadence of Part-time Poets,2023,Sirius Black/Remus Lupin,M/M,"“They’re… chaos,” Remus said firmly. “And chaos is—”“Rock and roll.”He looked at Sirius sharply, and for once, matched his grin. “Yeah.”“Maybe that’s my excuse then,” Sirius said. “I cause a bit of chaos now, and maybe one day, it’ll turn into rock and roll.”After losing his mother at age eleven, Remus has spent the better part of the last four years bouncing from school to school or else running around London and pretending as though he wasn't the kind of well-bred boy his father brought him up to be. Now, with his chances all run out, Remus is sent to Hawkings Independent School as a last-ditch effort to clean up his act. There he meets the very people who will set up the rest of his life, and is forced to confront the pieces of himself he'd long thought had been lost.(genuinely not apologising for the slow-burn in this fic anymore. You've been warned <3)*Please do not comment on the fic asking about translations because it is unlikely that I will see it. If you're interested in translations/have a question regarding the fic, please reach out on tumblr @motswolo x",English,"979,867","8,656",108/108,"23,368","7,223","2,048,233"
68,What Real Thing?,2016,Draco Malfoy/Harry Potter,M/M,"They don’t cuddle, they don’t talk about their relationship (or lack thereof) and they certainly never fall asleep in each other’s arms.",English,"12,676",707,1/1,"23,346","3,613","273,217"
69,Expectant,2018,Draco Malfoy/Harry Potter,M/M,"After he accidentally gets Malfoy pregnant on a drunken fuck at a club, Harry doesn't anticipate that it'd be just as easy to fall in love with him.",English,"62,460",720,1/1,"23,252","5,447","455,917"
70,no place like home,2015,Harry Potter & Warrington,Gen,"When Petunia Dursley refused to take Harry in she forfeited his birthright protection, so Dumbledore took the baby to the safest place he knew: Hogwarts.The applicable staff (mostly just… not Snape) took Harry in on a rotating schedule as he grew from baby to toddler to child. They traded extra credit for babysitting among the older students, and Harry grew up knowing a few dozen different laps that were safe and warm to nap in.This was a Harry who grew up among books, among old transient walls and learned professors. They gave Binns night duty sometimes, and let him talk young Harry to sleep. This was a Harry whose world changed, on principle, daily. The stairs moved. The walls became doors. You had to keep your eyes open–you had to pay attention. So he did.He grew up in a school. Knowledge was power, but knowledge was also joy. This was his sanctuary. There was magic in his world from birth.",English,"13,193","1,136",1/1,"22,884","5,938","233,223"
